age,policy_number,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
57,538466,1000,1191.8,MALE,High School,protective-serv,unmarried,55600,0,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Riverwood,1,NO,1,0,None,73320,6110,12220,54990,N
46,932097,1000,1242.02,MALE,Masters,adm-clerical,wife,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Hillsdale,1,YES,0,2,YES,74900,14980,7490,52430,N
27,463727,500,1075.71,FEMALE,High School,prof-specialty,unmarried,0,-47400,Vehicle Theft,None,Trivial Damage,Police,WV,Columbus,1,None,0,1,YES,3190,580,290,2320,N
53,936638,2000,1459.93,FEMALE,Masters,priv-house-serv,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Springfield,2,YES,1,3,NO,77990,7090,14180,56720,N
33,944102,2000,1462.76,FEMALE,College,craft-repair,husband,69200,-36900,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Columbus,3,YES,2,0,NO,44880,8160,4080,32640,Y
51,689901,2000,1398.46,MALE,Associate,sales,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Northbend,1,None,0,2,NO,82830,7530,15060,60240,N
60,901083,1000,1269.64,FEMALE,College,armed-forces,unmarried,48800,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Riverwood,1,NO,1,3,NO,84480,7680,15360,61440,Y
30,396224,500,1455.65,FEMALE,College,transport-moving,wife,0,-66300,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3,None,2,3,NO,79800,15960,7980,55860,N
45,596298,500,1330.46,FEMALE,High School,machine-op-inspct,wife,54800,-64100,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Hillsdale,3,None,0,0,NO,24200,2200,4400,17600,N
40,253005,2000,1190.6,MALE,Masters,exec-managerial,unmarried,0,-45300,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Riverwood,1,None,1,3,YES,43230,7860,7860,27510,N
45,985924,500,972.5,FEMALE,College,exec-managerial,unmarried,0,0,Vehicle Theft,None,Trivial Damage,None,NC,Springfield,1,NO,2,3,NO,3190,290,580,2320,N
43,631565,2000,1161.91,FEMALE,Associate,adm-clerical,not-in-family,0,-50400,Parked Car,None,Minor Damage,None,WV,Northbrook,1,None,0,3,NO,5850,1300,650,3900,N
29,630998,1000,1117.17,FEMALE,High School,machine-op-inspct,not-in-family,0,-29900,Parked Car,None,Trivial Damage,Police,SC,Arlington,1,YES,2,0,YES,6820,620,1240,4960,N
44,926665,2000,1101.51,FEMALE,College,farming-fishing,not-in-family,64000,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,3,NO,2,2,NO,69480,11580,11580,46320,N
29,302669,1000,1523.17,MALE,Masters,prof-specialty,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Northbend,3,None,1,2,YES,94560,7880,15760,70920,N
39,620020,1000,984.45,MALE,Associate,armed-forces,unmarried,0,0,Vehicle Theft,None,Minor Damage,None,NC,Riverwood,1,YES,1,2,None,7800,780,780,6240,N
32,439828,2000,1257.0,FEMALE,High School,machine-op-inspct,unmarried,63900,-43700,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,1,NO,1,3,NO,61270,5570,11140,44560,N
49,971295,500,1434.51,FEMALE,Masters,transport-moving,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,1,None,0,2,YES,71440,8930,8930,53580,N
44,936543,500,1412.31,MALE,High School,priv-house-serv,unmarried,0,0,Vehicle Theft,None,Trivial Damage,Police,NC,Riverwood,1,NO,1,3,NO,5000,1000,500,3500,N
41,501692,1000,1134.68,FEMALE,College,tech-support,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,1,NO,2,2,None,69300,6930,13860,48510,N
21,355085,500,1021.9,MALE,High School,handlers-cleaners,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,1,None,0,0,None,91260,14040,14040,63180,N
31,651948,1000,1354.5,MALE,Masters,machine-op-inspct,husband,52800,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Arlington,3,None,0,3,YES,64800,6480,12960,45360,Y
34,424358,500,1282.93,FEMALE,College,exec-managerial,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,4,None,0,0,None,66880,6080,12160,48640,Y
35,131478,1000,1346.27,MALE,Masters,farming-fishing,not-in-family,44900,-91400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,1,NO,0,2,None,58200,5820,5820,46560,N
31,268833,1000,1338.4,FEMALE,High School,priv-house-serv,own-child,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Hillsdale,1,None,1,0,NO,60570,6730,6730,47110,N
36,287489,1000,949.44,FEMALE,Masters,exec-managerial,other-relative,0,-38400,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Springfield,3,None,0,0,NO,69680,8710,8710,52260,Y
58,808153,2000,977.4,MALE,Masters,transport-moving,own-child,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1,YES,2,3,NO,55700,5570,11140,38990,N
45,497347,500,1187.53,FEMALE,PhD,priv-house-serv,not-in-family,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Columbus,3,None,0,0,YES,54340,9880,0,44460,N
48,439660,1000,845.16,FEMALE,Masters,priv-house-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbend,1,YES,1,0,NO,55170,6130,6130,42910,Y
34,847123,500,1442.27,MALE,College,priv-house-serv,wife,67900,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Columbus,1,None,2,3,YES,58500,11700,5850,40950,N
32,172307,2000,1276.43,MALE,Associate,priv-house-serv,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Riverwood,1,None,0,3,None,59940,6660,6660,46620,N
44,903203,2000,814.96,FEMALE,PhD,priv-house-serv,not-in-family,68500,0,Parked Car,None,Trivial Damage,Police,NC,Hillsdale,1,None,2,2,NO,6400,640,1280,4480,Y
40,253085,1000,1575.86,FEMALE,PhD,other-service,own-child,0,0,Vehicle Theft,None,Trivial Damage,Police,WV,Northbrook,1,NO,1,1,NO,3190,580,290,2320,N
31,492224,2000,1175.7,MALE,Masters,protective-serv,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,NY,Columbus,1,NO,0,2,NO,57330,6370,6370,44590,N
33,107181,500,942.51,FEMALE,PhD,transport-moving,wife,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,1,YES,0,0,None,70400,6400,19200,44800,Y
36,855186,2000,1255.68,FEMALE,Associate,sales,other-relative,23600,-15600,Parked Car,None,Minor Damage,None,NC,Arlington,1,NO,0,0,None,7400,740,1480,5180,N
52,373935,500,1335.13,FEMALE,High School,farming-fishing,unmarried,44000,-71000,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbend,1,YES,1,1,None,54810,6090,6090,42630,Y
53,993840,500,1793.16,MALE,Associate,tech-support,wife,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NC,Riverwood,1,YES,2,2,NO,68750,12500,6250,50000,N
32,327856,500,1008.38,FEMALE,PhD,adm-clerical,other-relative,37900,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Arlington,1,NO,1,0,None,61500,12300,6150,43050,N
39,506333,500,1396.83,FEMALE,Masters,other-service,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Northbend,4,None,0,3,NO,76890,6990,13980,55920,N
32,263159,500,1402.78,FEMALE,PhD,other-service,husband,70300,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Northbrook,1,YES,0,1,None,56070,6230,12460,37380,N
30,372912,1000,1437.88,FEMALE,College,transport-moving,husband,42800,-51200,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,1,NO,2,0,YES,56000,14000,0,42000,N
33,552788,1000,1313.64,FEMALE,College,priv-house-serv,unmarried,12100,0,Parked Car,None,Trivial Damage,None,NY,Hillsdale,1,YES,1,0,NO,4290,780,390,3120,N
37,722747,500,1482.14,FEMALE,Associate,transport-moving,husband,33000,-43600,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,3,None,2,1,NO,60750,6750,6750,47250,N
30,248467,2000,1171.75,FEMALE,Associate,machine-op-inspct,not-in-family,46500,-42700,Single Vehicle Collision,Side Collision,Minor Damage,Other,NY,Northbend,1,None,2,3,NO,48730,4430,4430,39870,N
43,955953,2000,1353.33,MALE,Associate,adm-clerical,not-in-family,0,-8500,Multi-vehicle Collision,Front Collision,Minor Damage,Police,WV,Springfield,3,YES,2,0,NO,95150,17300,17300,60550,N
24,910622,500,1175.51,MALE,Masters,craft-repair,husband,0,0,Vehicle Theft,None,Minor Damage,Police,NY,Columbus,1,None,0,1,YES,7480,680,680,6120,N
28,137675,2000,1836.02,MALE,Masters,transport-moving,own-child,38000,-41200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Riverwood,1,None,2,1,YES,79800,13300,6650,59850,Y
38,413192,2000,1453.92,FEMALE,PhD,other-service,other-relative,51700,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Hillsdale,1,YES,2,3,None,79500,15900,7950,55650,N
44,247801,500,1340.71,FEMALE,High School,tech-support,other-relative,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Riverwood,1,NO,2,2,NO,76230,6930,13860,55440,Y
57,431283,2000,1376.16,FEMALE,PhD,tech-support,own-child,38600,-50300,Multi-vehicle Collision,Front Collision,Major Damage,Police,SC,Arlington,3,NO,2,1,None,47760,5970,5970,35820,Y
38,149467,1000,1601.47,MALE,PhD,handlers-cleaners,other-relative,64400,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,SC,Columbus,3,YES,2,2,None,61650,6850,6850,47950,N
33,758740,1000,1096.79,FEMALE,Associate,handlers-cleaners,unmarried,45500,-60600,Single Vehicle Collision,Rear Collision,Major Damage,Police,VA,Springfield,1,None,2,1,None,81400,8140,8140,65120,N
34,628337,2000,1078.22,FEMALE,Masters,transport-moving,wife,54500,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Northbend,3,NO,0,1,YES,58410,10620,5310,42480,N
56,574637,1000,1595.28,FEMALE,College,protective-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,3,None,0,0,None,38610,3510,3510,31590,N
37,373600,1000,1217.84,FEMALE,High School,farming-fishing,not-in-family,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,3,None,2,2,NO,57600,9600,9600,38400,N
35,930032,2000,1117.42,FEMALE,PhD,protective-serv,not-in-family,0,-51900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NC,Hillsdale,3,NO,2,2,NO,53190,5910,11820,35460,N
51,484321,1000,1152.12,MALE,PhD,armed-forces,not-in-family,0,-62400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Riverwood,3,NO,2,0,YES,90480,15080,15080,60320,N
49,795847,1000,1441.21,FEMALE,PhD,farming-fishing,wife,0,0,Vehicle Theft,None,Trivial Damage,None,SC,Columbus,1,NO,1,0,NO,7080,1180,1180,4720,N
36,792673,2000,1233.96,FEMALE,Masters,other-service,other-relative,34500,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,NC,Hillsdale,3,NO,1,1,NO,55900,5590,5590,44720,N
29,662256,1000,1861.43,MALE,High School,adm-clerical,husband,60400,-67800,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Columbus,1,NO,0,3,YES,63800,6380,6380,51040,Y
53,714738,2000,791.47,MALE,Masters,armed-forces,unmarried,0,0,Vehicle Theft,None,Minor Damage,Police,NC,Riverwood,1,NO,1,2,NO,6300,630,1260,4410,Y
44,976645,500,1047.06,MALE,College,exec-managerial,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Springfield,3,NO,0,2,NO,69850,12700,6350,50800,N
21,918037,1000,1390.29,FEMALE,Masters,priv-house-serv,other-relative,0,-41200,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,PA,Northbrook,1,NO,0,0,None,62900,12580,6290,44030,N
56,836272,500,1280.9,MALE,High School,armed-forces,own-child,48900,-40900,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Springfield,1,NO,2,0,None,50000,15000,5000,30000,N
28,167231,2000,1472.77,MALE,Associate,adm-clerical,husband,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,1,None,2,1,None,48290,8780,8780,30730,N
29,743330,1000,1878.44,MALE,High School,other-service,husband,0,-76000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1,NO,0,0,None,59070,5370,5370,48330,N
24,807369,500,1418.5,FEMALE,High School,armed-forces,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Springfield,3,None,0,0,NO,63300,12660,6330,44310,N
46,735307,500,1532.8,MALE,College,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Northbend,1,NO,0,3,YES,65780,11960,11960,41860,N
33,585324,2000,1551.61,MALE,High School,armed-forces,unmarried,45000,-30400,Vehicle Theft,None,Minor Damage,None,WV,Arlington,1,YES,1,1,NO,2250,250,250,1750,N
39,498759,1000,1326.98,FEMALE,High School,machine-op-inspct,unmarried,64200,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,3,YES,1,3,None,54120,4510,9020,40590,N
43,203250,2000,1331.69,FEMALE,Masters,adm-clerical,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,None,1,2,NO,66950,10300,10300,46350,N
47,430794,2000,1486.04,FEMALE,Associate,armed-forces,own-child,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Northbrook,3,NO,2,3,None,64100,12820,6410,44870,Y
46,156636,1000,870.55,MALE,PhD,prof-specialty,unmarried,0,-49400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Springfield,1,None,0,3,None,80280,13380,13380,53520,N
44,284143,2000,1344.56,MALE,Associate,machine-op-inspct,husband,0,-39100,Vehicle Theft,None,Trivial Damage,Police,NY,Northbend,1,None,1,2,NO,4680,520,0,4160,N
32,740518,1000,1377.04,MALE,College,tech-support,wife,61400,-41100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Springfield,4,None,1,1,NO,39720,6620,6620,26480,N
49,599262,1000,1525.86,FEMALE,PhD,craft-repair,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,NC,Northbend,1,YES,1,1,YES,73370,13340,6670,53360,N
39,493161,1000,770.76,MALE,Masters,tech-support,husband,0,-53700,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Columbus,1,NO,0,2,None,49800,9960,4980,34860,N
38,320251,2000,1132.74,FEMALE,Associate,armed-forces,husband,0,-37500,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,1,YES,1,1,NO,77440,7040,14080,56320,N
48,231127,500,1173.37,FEMALE,PhD,handlers-cleaners,own-child,0,-42700,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,1,None,1,0,None,42900,8580,0,34320,N
24,491484,1000,1143.95,FEMALE,PhD,tech-support,other-relative,51400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Riverwood,3,NO,2,1,None,53370,5930,5930,41510,N
29,925128,2000,1409.06,MALE,High School,prof-specialty,husband,74200,-68100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Northbrook,1,NO,2,2,YES,62920,9680,14520,38720,N
24,265093,1000,1070.63,FEMALE,High School,machine-op-inspct,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,3,None,0,1,NO,61600,6160,12320,43120,N
30,267808,2000,916.13,MALE,College,sales,unmarried,55300,-58400,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,3,YES,2,0,NO,74160,6180,12360,55620,N
38,116735,500,1191.5,MALE,High School,priv-house-serv,husband,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,1,NO,2,0,None,80100,8900,8900,62300,N
38,215534,1000,1437.53,FEMALE,College,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,PA,Northbrook,3,None,0,2,NO,53730,11940,5970,35820,Y
60,232854,2000,1304.83,FEMALE,College,other-service,husband,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Arlington,1,NO,0,0,NO,60600,5050,10100,45450,N
27,538955,1000,1164.97,FEMALE,College,adm-clerical,wife,43000,-42500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,1,None,1,2,YES,42840,3570,7140,32130,N
39,243226,1000,1232.72,MALE,High School,armed-forces,own-child,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,3,None,1,0,NO,87960,14660,14660,58640,Y
43,582480,500,1187.01,FEMALE,Associate,tech-support,unmarried,46300,-33000,Vehicle Theft,None,Trivial Damage,Police,NY,Northbrook,1,NO,0,1,None,3840,640,640,2560,N
26,924318,2000,1137.02,FEMALE,PhD,farming-fishing,not-in-family,31500,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,1,YES,1,3,None,88110,16020,16020,56070,N
42,726880,1000,1281.72,MALE,College,farming-fishing,other-relative,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Northbend,4,NO,0,2,YES,47740,4340,4340,39060,N
46,246705,500,1270.02,FEMALE,Associate,tech-support,own-child,0,-45800,Parked Car,None,Minor Damage,Police,NC,Northbrook,1,NO,1,2,None,2160,480,240,1440,N
45,164988,2000,1290.74,FEMALE,High School,prof-specialty,husband,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,3,NO,2,0,YES,78870,7170,14340,57360,N
47,729534,1000,1216.68,FEMALE,Masters,sales,other-relative,55100,0,Vehicle Theft,None,Trivial Damage,Police,SC,Columbus,1,NO,1,1,NO,2700,300,300,2100,N
54,505014,500,1251.16,FEMALE,Associate,machine-op-inspct,not-in-family,41400,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,1,None,0,1,NO,75960,6330,6330,63300,N
34,920826,2000,1586.41,FEMALE,High School,sales,other-relative,33500,-58900,Single Vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,1,YES,1,3,None,75570,6870,13740,54960,Y
48,534982,2000,1526.11,FEMALE,Masters,sales,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Columbus,1,None,2,3,YES,90240,15040,15040,60160,N
53,110408,1000,1028.44,FEMALE,College,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Springfield,1,None,0,0,NO,80960,14720,7360,58880,N
38,283052,1000,1555.94,MALE,PhD,craft-repair,own-child,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Riverwood,3,NO,1,3,YES,79080,6590,13180,59310,N
42,382394,2000,1170.53,FEMALE,PhD,armed-forces,wife,65000,-49200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbend,3,NO,1,2,YES,62590,5690,11380,45520,N
23,876699,1000,1099.95,FEMALE,College,sales,wife,0,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,1,NO,1,0,YES,52400,6550,6550,39300,Y
55,379882,500,1275.62,FEMALE,Associate,priv-house-serv,other-relative,0,-56200,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,3,YES,2,1,NO,61400,6140,6140,49120,N
63,852002,1000,1292.3,MALE,High School,adm-clerical,own-child,47600,0,Parked Car,None,Minor Damage,None,VA,Northbend,1,YES,1,3,NO,4700,940,470,3290,Y
44,372891,2000,1009.37,FEMALE,College,prof-specialty,other-relative,45400,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,1,NO,0,2,YES,74140,13480,13480,47180,N
30,689034,500,1093.07,FEMALE,PhD,other-service,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,1,None,2,2,NO,83160,6930,13860,62370,N
25,421092,1000,1221.17,FEMALE,Masters,protective-serv,not-in-family,49300,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,3,YES,0,0,YES,51030,5670,11340,34020,N
29,811042,1000,978.27,FEMALE,Associate,sales,own-child,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Hillsdale,1,None,1,3,NO,76400,15280,7640,53480,N
29,788502,500,1380.89,MALE,PhD,armed-forces,own-child,30000,-53000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,3,None,2,1,None,67210,12220,12220,42770,N
37,627486,500,1010.77,MALE,High School,transport-moving,unmarried,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,Arlington,3,None,0,3,NO,42500,4250,4250,34000,N
53,498842,500,1205.86,MALE,Associate,armed-forces,wife,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,1,YES,0,1,NO,86400,14400,7200,64800,N
51,550294,1000,1526.61,MALE,Masters,handlers-cleaners,not-in-family,0,-32900,Vehicle Theft,None,Minor Damage,Police,SC,Hillsdale,1,YES,2,2,None,4620,840,840,2940,Y
53,328387,1000,1496.44,FEMALE,High School,tech-support,unmarried,0,0,Parked Car,None,Trivial Damage,Police,NC,Springfield,1,YES,2,2,NO,6930,630,1260,5040,N
51,385932,500,1268.35,MALE,Masters,transport-moving,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,1,YES,2,1,NO,77330,14060,14060,49210,Y
35,618682,2000,1421.59,MALE,College,other-service,own-child,0,0,Vehicle Theft,None,Trivial Damage,Police,WV,Arlington,1,None,2,3,YES,4950,900,450,3600,N
26,550930,500,1500.04,MALE,PhD,craft-repair,own-child,0,-36500,Vehicle Theft,None,Minor Damage,Police,NC,Northbrook,1,NO,0,2,YES,5160,860,860,3440,N
35,998192,500,1433.24,FEMALE,College,exec-managerial,not-in-family,0,-19500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Riverwood,3,NO,2,1,None,24570,2730,2730,19110,Y
38,663938,2000,1231.25,FEMALE,PhD,craft-repair,not-in-family,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Arlington,3,None,1,0,None,53680,4880,9760,39040,N
49,756870,500,1135.43,MALE,Masters,farming-fishing,own-child,22700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Columbus,3,YES,1,1,YES,42900,3900,3900,35100,N
27,919875,2000,1118.76,FEMALE,College,adm-clerical,own-child,0,-55800,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,1,None,1,3,None,61560,6840,6840,47880,N
39,315631,2000,1231.98,FEMALE,Associate,other-service,not-in-family,0,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,1,YES,0,0,None,44240,5530,5530,33180,N
50,556415,2000,1108.97,FEMALE,PhD,exec-managerial,not-in-family,68400,-66800,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,1,NO,2,2,YES,108030,16620,16620,74790,N
30,250249,500,1392.39,FEMALE,High School,exec-managerial,unmarried,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,1,NO,2,0,YES,54300,10860,5430,38010,N
54,403776,2000,1317.97,MALE,High School,craft-repair,wife,34700,-81000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Columbus,3,None,1,2,None,32280,5380,5380,21520,Y
35,976908,500,900.02,MALE,College,craft-repair,own-child,0,-49900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,1,NO,1,3,YES,69700,6970,6970,55760,N
33,361829,2000,1021.14,FEMALE,Masters,other-service,wife,69500,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Northbend,3,NO,2,3,None,79090,14380,14380,50330,N
40,439049,1000,1022.42,MALE,PhD,other-service,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,1,YES,0,2,None,71100,7110,14220,49770,N
39,378588,500,1757.87,MALE,High School,transport-moving,not-in-family,71400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,3,YES,2,1,None,55000,5000,10000,40000,Y
52,794731,1000,973.5,MALE,PhD,machine-op-inspct,not-in-family,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,2,YES,1,3,YES,51090,7860,7860,35370,N
34,641934,500,1430.8,MALE,PhD,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,1,None,2,3,NO,64200,6420,19260,38520,Y
45,113516,500,1192.27,MALE,High School,sales,own-child,0,-40200,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,1,NO,2,0,YES,67320,12240,12240,42840,N
31,425631,500,1163.83,MALE,Associate,protective-serv,husband,37700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Arlington,4,YES,2,0,None,76120,6920,13840,55360,N
41,512894,2000,1153.54,MALE,Masters,protective-serv,unmarried,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,3,NO,0,1,None,68090,12380,12380,43330,N
27,633090,1000,1631.1,FEMALE,High School,priv-house-serv,wife,0,0,Parked Car,None,Trivial Damage,Police,WV,Arlington,1,None,1,2,NO,6030,670,670,4690,N
30,290162,1000,1677.26,MALE,College,sales,own-child,40100,0,Vehicle Theft,None,Trivial Damage,Police,WV,Springfield,1,YES,1,3,YES,4590,510,510,3570,N
64,911429,500,989.24,MALE,Masters,other-service,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,1,NO,2,3,NO,70900,14180,7090,49630,N
25,106186,1000,1389.86,FEMALE,Associate,priv-house-serv,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,2,None,2,3,YES,65100,6510,6510,52080,N
40,311783,500,1233.85,FEMALE,College,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,3,None,2,1,YES,64260,0,14280,49980,N
43,528385,500,1320.39,FEMALE,Associate,armed-forces,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,1,None,2,1,None,79970,7270,21810,50890,Y
41,228403,1000,1435.09,FEMALE,College,machine-op-inspct,not-in-family,36600,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,1,NO,2,0,None,56610,6290,6290,44030,N
38,497929,500,1733.56,MALE,High School,sales,wife,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,3,NO,2,1,YES,66780,7420,14840,44520,N
